Customer_ID,Transaction_ID,Source_Account,Destination_Account,Amount,Date,Time,Is_Fraudulent,Category,Type,Location,OldBalanceOrg,NewBalanceOrg,OldBalanceDest,NewBalanceDest
68,6744,68,86,208.6,2024-01-09,01:44:31,False,Other,cash In,Other,77205.57,77414.17,52186.69,52395.29
80,7909,80,58,57.09,2024-01-09,01:44:31,False,Clothing,transfer,Alwar,60032.44,59975.35,47998.37,48055.46
46,4566,46,87,986.1,2024-01-09,01:44:31,False,Other,payment,Ajmer,21007.3,21993.4,41132.26,42118.36
67,6692,67,57,596.66,2024-01-09,01:44:31,False,Electronics,payment,Jaipur,40210.68,40807.34,17422.71,18019.37
68,6707,68,80,563.57,2024-01-09,01:44:31,True,Entertainment,debit,Sikar,79080.24,78516.67,35568.49,36132.06
50,4996,50,76,691.36,2024-01-09,01:44:31,False,Electronics,transfer,Jaisalmer,85702.24,85010.88,41604.12,42295.48
81,8024,81,27,63.12,2024-01-09,01:44:31,False,Clothing,cash out,Jaisalmer,23052.16,22989.04,34942.17,35005.29
81,8020,81,78,483.87,2024-01-09,01:44:31,False,Electronics,cash In,Kota,20240.95,20724.82,40236.36,40720.23
58,5702,58,48,140.13,2024-01-09,01:44:31,False,Grocery,payment,Jaipur,45853.24,45993.37,14333.07,14473.2
55,5475,55,82,110.95,2024-01-09,01:44:31,False,Electronics,transfer,Jaisalmer,29125.68,29014.73,30241.68,30352.63
68,6751,68,32,240.39,2024-01-09,01:44:31,False,Other,cash out,Sikar,77902.61,77662.22,37870.13,38110.52
55,5468,55,11,67.68,2024-01-09,01:44:31,False,Electronics,cash out,Jodhpur,28963.14,28895.46,17720.18,17787.86
51,5003,51,36,681.28,2024-01-09,01:44:31,False,Trading,cash In,Jaipur,25478.56,26159.84,51616.97,52298.25
68,6778,68,26,21.95,2024-01-09,01:44:31,False,Trading,cash In,Jaipur,78623.04,78644.99,26471.72,26493.67
46,4552,46,8,214.0,2024-01-09,01:44:31,False,Grocery,cash out,Jodhpur,18750.54,18536.54,25254.58,25468.58
68,6781,68,53,65.44,2024-01-09,01:44:31,False,Clothing,debit,Jodhpur,78618.16,78552.72,40177.2,40242.64
51,5007,51,11,239.5,2024-01-09,01:44:31,False,Entertainment,cash out,Ajmer,25691.21,25451.71,17720.18,17959.68
67,6658,67,60,778.35,2024-01-09,01:44:31,False,Trading,cash out,Other,39865.73,39087.38,41490.93,42269.28
67,6648,67,17,709.91,2024-01-09,01:44:31,False,Clothing,cash out,Jaisalmer,42403.25,41693.34,36120.02,36829.93
46,4583,46,66,706.07,2024-01-09,01:44:31,False,Electronics,transfer,Jodhpur,25640.6,24934.53,16283.74,16989.81
90,8951,90,80,346.29,2024-01-09,01:44:31,False,Other,debit,Bikaner,41164.21,40817.92,35568.49,35914.78
66,6504,66,71,615.41,2024-01-09,01:44:31,False,Grocery,debit,Sikar,76712.45,76097.04,4403.72,5019.13
66,6524,66,33,952.03,2024-01-09,01:44:31,False,Trading,cash In,Jodhpur,74034.58,74986.61,21222.82,22174.85
66,6532,66,90,762.13,2024-01-09,01:44:31,False,Other,payment,Ajmer,73766.16,74528.29,25130.02,25892.15
47,4682,47,100,173.47,2024-01-09,01:44:31,False,Grocery,transfer,Kota,29844.34,29670.87,77040.37,77213.84
56,5525,56,85,807.88,2024-01-09,01:44:31,False,Electronics,transfer,Sikar,37144.04,36336.16,23631.76,24439.64
56,5523,56,66,720.06,2024-01-09,01:44:31,False,Other,payment,Udaipur,36847.91,37567.97,16283.74,17003.8
66,6567,66,54,423.83,2024-01-09,01:44:31,False,Electronics,transfer,Kota,62781.35,62357.52,34734.39,35158.22
89,8823,89,30,790.87,2024-01-09,01:44:31,False,Grocery,payment,Jodhpur,10240.12,11030.99,54164.32,54955.19
